products_name,products_url,products_brand,products_sale_price,products_original_price,products_description,products_color,products_no_sale_price,style,heel type,patten
Alix 85MM Bootie,https://www.revolve.com/31-phillip-lim-alix-85mm-bootie/dp/31PL-WZ28/?d=Womens&page=1&lc=46&itrownum=8&itcurrpage=1&itview=05,3.1 phillip lim,$161,$595,"Leather upper with man made sole
Ankle zip closure
Paper clip accent
Heel measures approx 3.5"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. 31PL-WZ28
Manufacturer Style No. SHF9 T638BUL",Black,,kitten,kitten,leather
Hayett Bootie,,3.1 phillip lim,$390,$650,"Leather upper with man made sole
Front zipper closure
Silver stud accents
Heel measures approx 2"" H
Shaft measures approx 6"" H
Imported
Revolve Style No. 31PL-WZ35
Manufacturer Style No. SSE0-T679JAR",Black,,combat,block,leather
Anna Heeled Bootie,https://www.revolve.com/alexander-wang-anna-heeled-bootie/dp/AWAR-WZ18/?d=Womens&page=1&lc=21&itrownum=2&itcurrpage=1&itview=05,Alexander Wang,$487,$695,"Leather upper and sole
Side zipper closure
Notched heel with rhodium plate
Heel measures approx 3"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. AWAR-WZ18
Manufacturer Style No. 30C120B009",White,,generic low block,block,leather
Andy Black Box Calf Bootie,,Alexander Wang,,,"Leather upper with rubber sole
Pull-on styling
Side elastic gussets
Cut-out heel with silver tone metal plate accent
Heel measures approx 1.5"" H
Shaft measures approx 6.5"" H
Revolve Style No. AWAR-WZ6
Manufacturer Style No. 30C219B010",Black,$695,chelsea,block,leather
Clarita Kitten Bootie,https://www.revolve.com/alexandre-birman-clarita-kitten-bootie/dp/AEBR-WZ42/?d=Womens&page=1&lc=4&itrownum=1&itcurrpage=1&itview=05,Alexandre Birman,$215,$795,"Suede upper with leather sole
Back zipper closure
Front bow detail
Heel measures approx 2"" H
Shaft measures approx 4.5"" H
Made in Spain
Revolve Style No. AEBR-WZ42
Manufacturer Style No. B3505801740001",Black,,kitten,kitten,suede
Kittie Bootie,https://www.revolve.com/alexandre-birman-kittie-bootie/dp/AEBR-WZ16/?d=Womens&page=1&lc=7&itrownum=2&itcurrpage=1&itview=05,Alexandre Birman,$195,$695,"Suede upper with leather sole
Back zipper closure
Heel measures approx 1.75"" H
Shaft measures approx 4.5"" H
Made in Brazil
Revolve Style No. AEBR-WZ16
Manufacturer Style No. 350580022",Black,,kitten,kitten,suede
Kittie Bootie,https://www.revolve.com/alexandre-birman-kittie-bootie/dp/AEBR-WZ37/?d=Womens&page=1&lc=9&itrownum=3&itcurrpage=1&itview=05,Alexandre Birman,$181,$695,"Soft leather upper with leather sole
Back zipper closure
Heel measures approx 2"" H
Made in Brazil
Revolve Style No. AEBR-WZ37
Manufacturer Style No. B3505800220017",Tan,,kitten,kitten,leather
Rachel Bootie,https://www.revolve.com/alexandre-birman-rachel-bootie/dp/AEBR-WZ36/?d=Womens&page=1&lc=13&itrownum=4&itcurrpage=1&itview=05,Alexandre Birman,$295,$795,"Soft leather upper with leather sole
Back zipper closure
Heel measures approx 4.5"" H
Platform measures approx 1"" H
Shaft measures approx 6"" H
Made in Brazil
Revolve Style No. AEBR-WZ36
Manufacturer Style No. 352720001",Tan,,retro block,block,leather
Susanna Bootie,https://www.revolve.com/alexandre-birman-susanna-bootie/dp/AEBR-WZ25/?d=Womens&page=1&lc=42&itrownum=7&itcurrpage=1&itview=05,Alexandre Birman,$320,$695,"Leather upper and sole
Back zipper closure
Front ruching with twist detail
Heel measures approx 3.25"" H
Shaft measures approx 5"" H
Made in Brazil
Revolve Style No. AEBR-WZ25
Manufacturer Style No. 350510027",Light Beige,,stiletto,stiletto,leather
Ahara Bootie,https://www.revolve.com/alias-mae-ahara-bootie/dp/AMAE-WZ94/?d=Womens&page=1&lc=10&itrownum=3&itcurrpage=1&itview=05,Alias Mae,$96,$200,"Leather upper with man made sole
Side zipper closure
Elasticized side gussets
Heel measures approx 4"" H
Shaft measures approx 6"" H
Imported
Revolve Style No. AMAE-WZ94
Manufacturer Style No. AHARA",Tan,,retro block,block,leather
Ahnika Leather Bootie,https://www.revolve.com/alias-mae-ahnika-leather-bootie/dp/AMAE-WZ85/?d=Womens&page=1&lc=11&itrownum=3&itcurrpage=1&itview=05,Alias Mae,$120,$200,"Leather upper and sole
Exposed back zip closure
Measures approx 4"" H
Imported
Revolve Style No. AMAE-WZ85
Manufacturer Style No. AHNIKA",Beige,,retro block,block,leather
Pepa Bootie,https://www.revolve.com/alias-mae-pepa-bootie/dp/AMAE-WZ115/?d=Womens&page=1&lc=15&itrownum=4&itcurrpage=1&itview=05,Alias Mae,$120,$200,"Leather upper with man made sole
Pull-on styling
Side elastic gussets
Heel measures approx 3.25"" H
Shaft measures approx 5.5"" H
Imported
Revolve Style No. AMAE-WZ115
Manufacturer Style No. PEPA",Black,,retro block,block,leather
Gazelle Bootie,https://www.revolve.com/alias-mae-gazelle-bootie/dp/AMAE-WZ96/?d=Womens&page=1&lc=19&itrownum=1&itcurrpage=1&itview=05,Alias Mae,$120,$200,"Leather upper with man made sole
Side zipper closure
Elasticized side gussets
Heel measures approx 2.5"" H
Imported
Revolve Style No. AMAE-WZ96
Manufacturer Style No. GAZELLE",Black,,generic low block,block,leather
Chilli Bootie,https://www.revolve.com/alias-mae-chilli-bootie/dp/AMAE-WZ102/?d=Womens&page=1&lc=36&itrownum=5&itcurrpage=1&itview=05,Alias Mae,$137,$210,"Leather upper with man made sole
Pull-on styling
Side elastic gussets
Heel measures approx 2"" H
Shaft measures approx 5"" H
Imported
Revolve Style No. AMAE-WZ102
Manufacturer Style No. CHILLI",Black,,chelsea,block,
